# LKr T0 constants. Format: RO channel; geometric ID; T0 offset (ns).
# These T0 offsets should be subtracted from the raw times.
# Special values: -999.999 for masked channels or low statistics, +999.999 for failed T0 fits.
# An offset T0 must be ignored by the reconstruction in case |T0|>999ns.
#
# Generated by the T0Evaluation tool on Sat Feb 17 23:07:07 2018 [with run 6371]
#
   0    0 -999.999
   1    0 -999.999
   2    0 -999.999
   3    0 -999.999
   4    0 -999.999
   5    0 -999.999
   6    0 -999.999
   7    0 -999.999
   8    0 -999.999
   9    0 -999.999
  10    0 -999.999
  11    0 -999.999
  12    0 -999.999
  13    0 -999.999
  14    0 -999.999
  15    0 -999.999
  16    0 -999.999
  17    0 -999.999
  18    0 -999.999
  19    0 -999.999
  20    0 -999.999
  21    0 -999.999
  22    0 -999.999
  23    0 -999.999
  24    0 -999.999
  25    0 -999.999
  26    0 -999.999
  27    0 -999.999
  28    0 -999.999
  29    0 -999.999
  30    0 -999.999
  31    0 -999.999
  32    0 -999.999
  33    0 -999.999
  34    0 -999.999
  35    0 -999.999
  36    0 -999.999
  37    0 -999.999
  38    0 -999.999
  39    0 -999.999
  40    0 -999.999
  41    0 -999.999
  42    0 -999.999
  43    0 -999.999
  44    0 -999.999
  45    0 -999.999
  46    0 -999.999
  47    0 -999.999
  48    0 -999.999
  49    0 -999.999
  50    0 -999.999
  51    0 -999.999
  52    0 -999.999
  53    0 -999.999
  54    0 -999.999
  55    0 -999.999
  56    0 -999.999
  57    0 -999.999
  58    0 -999.999
  59    0 -999.999
  60    0 -999.999
  61    0 -999.999
  62    0 -999.999
  63    0 -999.999
  64    0 -999.999
  65    0 -999.999
  66    0 -999.999
  67    0 -999.999
  68    0 -999.999
  69    0 -999.999
  70    0 -999.999
  71    0 -999.999
  72    0 -999.999
  73    0 -999.999
  74    0 -999.999
  75    0 -999.999
  76    0 -999.999
  77    0 -999.999
  78    0 -999.999
  79    0 -999.999
  80    0 -999.999
  81    0 -999.999
  82    0 -999.999
  83    0 -999.999
  84    0 -999.999
  85    0 -999.999
  86    0 -999.999
  87    0 -999.999
  88    0 -999.999
  89    0 -999.999
  90    0 -999.999
  91    0 -999.999
  92    0 -999.999
  93    0 -999.999
  94    0 -999.999
  95    0 -999.999
  96    0 -999.999
