CHAPEDES  5159  5407     1    2016_06_08
*---  ad hoc run min and max
*---  Made with pedestal run 5159 ( run 5159, 2016-06-08 )
*---  
  0   0     99         0         0
  0   1     99         0         0
  0   2     99         0         0
  0   3     99         0         0
  0   4     99         0         0
  0   5     99         0         0
  0   6     99         0         0
  0   7     99         0         0
  0   8     99         0         0
  0   9     99         0         0
  0  10     99         0         0
  0  11     99         0         0
  0  12     99         0         0
  0  13     99         0         0
  0  14     99         0         0
  0  15     99         0         0
  0  16     99         0         0
  0  17     99         0         0
  0  18     99         0         0
  0  19     99         0         0
  0  20     99         0         0
  0  21     99         0         0
  0  22     99         0         0
  0  23     99         0         0
  0  24     99         0         0
  0  25     99         0         0
  0  26     99         0         0
  0  27     99         0         0
  0  28     99         0         0
  0  29     99         0         0
  0  30     99         0         0
  0  31     99         0         0
  0  32     99         0         0
  0  33     99         0         0
  0  34     99         0         0
  0  35     99         0         0
  0  36     99         0         0
  0  37     99         0         0
  0  38     99         0         0
  0  39     99         0         0
  0  40     99         0         0
  0  41     99         0         0
  0  42     99         0         0
  0  43     99         0         0
  0  44     99         0         0
  0  45     99         0         0
  0  46     99         0         0
  0  47     99         0         0
  0  48     99         0         0
  0  49     99         0         0
  0  50     99         0         0
  0  51     99         0         0
  0  52     99         0         0
  0  53     99         0         0
  0  54     99         0         0
  0  55     99         0         0
  0  56     99         0         0
  0  57     99         0         0
  0  58     99         0         0
  0  59     99         0         0
  0  60     99         0         0
  0  61     99         0         0
  0  62     99         0         0
  0  63     99         0         0
  0  64     99         0         0
  0  65     99         0         0
  0  66     99         0         0
  0  67     99         0         0
  0  68     99         0         0
  0  69     99         0         0
  0  70     99         0         0
  0  71     99         0         0
  0  72     99         0         0
  0  73     99         0         0
  0  74     99         0         0
  0  75     99         0         0
  0  76     99         0         0
  0  77     99         0         0
  0  78     99         0         0
  0  79     99         0         0
  0  80     99         0         0
  0  81     99         0         0
  0  82     99         0         0
  0  83     99         0         0
  0  84     99         0         0
  0  85     99         0         0
  0  86     99         0         0
  0  87     99         0         0
  0  88     99         0         0
  0  89     99         0         0
  0  90     99         0         0
  0  91     99         0         0
  0  92     99         0         0
  0  93     99         0         0
  0  94     99         0         0
  0  95     99         0         0
  0  96     99         0         0
  0  97     99         0         0
  0  98     99         0         0
  0  99     99         0         0
  0 100     99         0         0
  0 101     99         0         0
  0 102     99         0         0
  0 103     99         0         0
  0 104     99         0         0
  0 105     99         0         0
  0 106     99         0         0
  0 107     99         0         0
  0 108     99         0         0
  0 109     99         0         0
  0 110     99         0         0
  0 111     99         0         0
  0 112     99         0         0
  0 113     99         0         0
  0 114     99         0         0
  0 115     99         0         0
  0 116     99         0         0
  0 117     99         0         0
  0 118     99         0         0
  0 119     99         0         0
  0 120     99         0         0
  0 121     99         0         0
  0 122     99         0         0
  0 123     99         0         0
  0 124     99         0         0
  0 125     99         0         0
  0 126     99         0         0
  0 127     99         0         0
  1   0     99         0         0
  1   1     99         0         0
  1   2     99         0         0
  1   3     99         0         0
  1   4     99         0         0
  1   5     99         0         0
  1   6     99         0         0
  1   7     99         0         0
  1   8     99         0         0
  1   9     99         0         0
  1  10     99         0         0
  1  11     99         0         0
  1  12     99         0         0
  1  13     99         0         0
  1  14     99         0         0
  1  15     99         0         0
  1  16     99         0         0
  1  17     99         0         0
  1  18     99         0         0
  1  19     99         0         0
  1  20     99         0         0
  1  21     99         0         0
  1  22     99         0         0
  1  23     99         0         0
  1  24     99         0         0
  1  25     99         0         0
  1  26     99         0         0
  1  27     99         0         0
  1  28     99         0         0
  1  29     99         0         0
  1  30     99         0         0
  1  31     99         0         0
  1  32     99         0         0
  1  33     99         0         0
  1  34     99         0         0
  1  35     99         0         0
  1  36     99         0         0
  1  37      0    399.82     2.589
  1  38      0   399.521   2.72955
  1  39      0   400.211     2.531
  1  40      0   400.865   2.85089
  1  41      0   401.086   3.20549
  1  42      0   399.929   2.86928
  1  43      0    399.84   3.18452
  1  44      0   398.781   3.12042
  1  45      0     400.1   2.99093
  1  46      0   401.436   3.42525
  1  47      0   400.029   3.30191
  1  48      0   399.957   2.66087
  1  49      0   399.741   2.53822
  1  50      0   403.414    2.6912
  1  51      0   399.788   2.73497
  1  52      0   401.341   2.85728
  1  53      0   399.728   2.87227
  1  54      0   399.762   2.76427
  1  55      0   399.842    2.5644
  1  56      0   399.428   2.62293
  1  57      0   399.442   2.75343
  1  58      0   399.816   2.69364
  1  59      0   400.603   2.63671
  1  60      0   400.943   2.59214
  1  61      0   399.974   2.42721
  1  62      0   400.508   2.64114
  1  63      0   401.494   2.56313
  1  64      0   398.666   2.89632
  1  65      0   400.492    2.7391
  1  66      0   397.587   2.83994
  1  67      0   399.062   3.30029
  1  68      0   401.376   2.98158
  1  69      0   400.411   3.30252
  1  70      0   400.159   3.15777
  1  71      0    400.23   2.64983
  1  72      2   400.387   1.33389
